time,open,high,low,close
2026-07-05 11:00:00+00:00,1760.4,1764.0,1757.75,1758.6
2026-07-05 12:00:00+00:00,1758.9,1768.4,1755.0,1764.0
2026-07-05 13:00:00+00:00,1763.5,1766.05,1760.4,1764.75
2026-07-05 14:00:00+00:00,1764.9,1771.55,1763.8,1770.95
2026-07-05 15:00:00+00:00,1771.15,1780.25,1769.15,1772.9
2026-07-05 16:00:00+00:00,1773.35,1775.95,1769.05,1771.95
2026-07-05 17:00:00+00:00,1771.7,1786.05,1771.7,1778.55
2026-07-05 18:00:00+00:00,1778.25,1785.85,1776.65,1780.45
2026-07-05 19:00:00+00:00,1780.05,1783.85,1776.25,1780.25
2026-07-05 20:00:00+00:00,1780.35,1782.15,1775.15,1776.4
2026-07-05 21:00:00+00:00,1776.4,1792.7,1768.25,1785.8
2026-07-05 22:00:00+00:00,1785.7,1807.05,1783.05,1788.85
2026-07-05 23:00:00+00:00,1789.15,1802.5,1781.55,1784.95
2026-07-06 00:00:00+00:00,1784.75,1792.8,1773.5,1792.8
2026-07-06 01:00:00+00:00,1792.25,1798.85,1784.1,1785.2
2026-07-06 02:00:00+00:00,1785.15,1789.85,1778.65,1783.4
2026-07-06 03:00:00+00:00,1782.65,1784.35,1771.2,1778.1
2026-07-06 04:00:00+00:00,1778.55,1784.6,1775.3,1776.8
2026-07-06 05:00:00+00:00,1776.65,1777.3,1763.45,1773.45
2026-07-06 06:00:00+00:00,1773.15,1774.6,1768.45,1769.2
2026-07-06 07:00:00+00:00,1768.65,1774.35,1765.8,1771.45
2026-07-06 08:00:00+00:00,1771.45,1777.4,1762.05,1765.0
2026-07-06 09:00:00+00:00,1764.45,1765.05,1754.65,1758.0
2026-07-06 10:00:00+00:00,1757.45,1772.75,1757.1,1769.2
2026-07-06 11:00:00+00:00,1769.6,1774.1,1758.8,1758.8
2026-07-06 12:00:00+00:00,1758.65,1759.4,1734.25,1740.3
2026-07-06 13:00:00+00:00,1739.6,1752.35,1728.4,1744.05
2026-07-06 14:00:00+00:00,1744.0,1761.5,1741.45,1750.5
2026-07-06 15:00:00+00:00,1750.7,1787.95,1750.65,1787.45
2026-07-06 16:00:00+00:00,1787.45,1805.1,1781.8,1791.8
2026-07-06 17:00:00+00:00,1791.8,1799.6,1786.5,1787.3
2026-07-06 18:00:00+00:00,1787.45,1795.25,1786.05,1791.35
2026-07-06 19:00:00+00:00,1791.85,1798.2,1790.4,1791.85
2026-07-06 20:00:00+00:00,1791.95,1795.5,1786.55,1792.5
2026-07-06 21:00:00+00:00,1792.25,1832.5,1791.85,1814.3
2026-07-06 22:00:00+00:00,1814.45,1816.35,1804.3,1806.0
2026-07-06 23:00:00+00:00,1805.85,1809.55,1797.25,1798.85
2026-07-07 00:00:00+00:00,1799.05,1809.6,1794.75,1803.1
2026-07-07 01:00:00+00:00,1803.1,1803.1,1787.55,1791.7
2026-07-07 02:00:00+00:00,1791.85,1793.65,1775.2,1777.4
2026-07-07 03:00:00+00:00,1777.45,1780.65,1765.4,1770.9
2026-07-07 04:00:00+00:00,1770.65,1772.6,1761.75,1765.75
2026-07-07 05:00:00+00:00,1765.6,1772.7,1756.85,1769.5
2026-07-07 06:00:00+00:00,1769.65,1781.35,1762.1,1777.95
2026-07-07 07:00:00+00:00,1777.95,1781.4,1770.0,1770.2
2026-07-07 08:00:00+00:00,1770.2,1774.3,1767.05,1769.35
2026-07-07 09:00:00+00:00,1769.35,1769.35,1769.35,1769.35
2026-07-07 10:00:00+00:00,1769.85,1779.75,1769.85,1773.3
2026-07-07 11:00:00+00:00,1773.05,1783.3,1770.65,1779.4
2026-07-07 12:00:00+00:00,1779.35,1792.95,1779.1,1780.5
2026-07-07 13:00:00+00:00,1780.65,1782.0,1764.75,1767.1
2026-07-07 14:00:00+00:00,1767.5,1791.5,1760.1,1787.95
2026-07-07 15:00:00+00:00,1788.1,1801.9,1781.75,1796.05
2026-07-07 16:00:00+00:00,1796.45,1811.0,1791.65,1801.15
2026-07-07 17:00:00+00:00,1801.2,1809.3,1797.55,1809.25
2026-07-07 18:00:00+00:00,1809.3,1809.3,1785.05,1785.05
2026-07-07 19:00:00+00:00,1785.4,1791.35,1772.4,1789.5
2026-07-07 20:00:00+00:00,1789.55,1792.0,1780.8,1783.0
2026-07-07 21:00:00+00:00,1783.05,1788.55,1770.2,1773.5
2026-07-07 22:00:00+00:00,1772.9,1777.75,1763.9,1774.6
2026-07-07 23:00:00+00:00,1774.5,1780.0,1767.6,1770.3
2026-07-08 00:00:00+00:00,1770.45,1783.55,1769.4,1779.1
2026-07-08 01:00:00+00:00,1779.6,1780.1,1749.0,1755.35
2026-07-08 02:00:00+00:00,1754.45,1758.5,1741.0,1755.9
2026-07-08 03:00:00+00:00,1756.45,1762.55,1748.25,1750.0
2026-07-08 04:00:00+00:00,1750.45,1756.75,1748.1,1755.1
2026-07-08 05:00:00+00:00,1755.45,1758.45,1749.55,1752.65
2026-07-08 06:00:00+00:00,1752.85,1753.7,1745.2,1750.35
2026-07-08 07:00:00+00:00,1750.5,1756.4,1744.05,1756.15
2026-07-08 08:00:00+00:00,1755.6,1757.75,1724.2,1734.4
2026-07-08 09:00:00+00:00,1733.5,1739.5,1729.1,1735.05
2026-07-08 10:00:00+00:00,1735.1,1741.4,1731.65,1738.0
2026-07-08 11:00:00+00:00,1738.4,1750.05,1735.1,1747.0
2026-07-08 12:00:00+00:00,1747.05,1750.3,1737.25,1737.6
2026-07-08 13:00:00+00:00,1737.45,1742.95,1730.0,1736.3
2026-07-08 14:00:00+00:00,1736.55,1739.25,1721.35,1728.1
2026-07-08 15:00:00+00:00,1728.35,1729.4,1712.05,1722.05
2026-07-08 16:00:00+00:00,1721.85,1736.9,1721.65,1734.75
2026-07-08 17:00:00+00:00,1735.2,1744.9,1729.65,1732.15
2026-07-08 18:00:00+00:00,1732.05,1739.7,1728.9,1736.35
2026-07-08 19:00:00+00:00,1736.2,1740.4,1732.4,1739.25
2026-07-08 20:00:00+00:00,1739.75,1740.2,1733.5,1735.3
2026-07-08 21:00:00+00:00,1735.5,1738.95,1730.4,1737.3
2026-07-08 22:00:00+00:00,1737.15,1742.25,1735.75,1740.45
2026-07-08 23:00:00+00:00,1740.2,1743.7,1737.95,1742.25
2026-07-09 00:00:00+00:00,1742.3,1743.3,1735.55,1736.4
2026-07-09 01:00:00+00:00,1736.95,1754.9,1729.05,1730.7
2026-07-09 02:00:00+00:00,1730.45,1738.25,1722.0,1726.2
2026-07-09 03:00:00+00:00,1726.0,1732.95,1720.5,1729.2
2026-07-09 04:00:00+00:00,1729.6,1742.25,1729.2,1741.05
2026-07-09 05:00:00+00:00,1741.1,1748.2,1736.35,1748.1
2026-07-09 06:00:00+00:00,1748.25,1754.45,1745.1,1754.0
2026-07-09 07:00:00+00:00,1754.25,1761.55,1749.65,1752.3
2026-07-09 08:00:00+00:00,1752.25,1757.5,1750.05,1753.45
2026-07-09 09:00:00+00:00,1753.5,1755.15,1748.35,1754.45
2026-07-09 10:00:00+00:00,1754.4,1756.35,1742.5,1745.45
